question,A,B,C,D,answer
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Which of the following is the best way of describing the last three sentences of the passage (""They became . . . in judgment"") ?",(A) The sentences emphasize the weariness the sitters feel after a long day's work.,(B) The sentences are used to paint a picture of the way in which the sitters wish they spent their evenings.,(C) The sentences are a vivid way of describing the ease and authority the sitters feel during the evening.,(D) The sentences highlight the contrast between the feelings of the sitters and the feelings of the bossman.,C
What is leptin resistance?,(A) Deficiency of leptin caused by a mutation in the leptin gene,(B) Lack of leptin release from the adipose tissue,(C) High concentrations of leptin without reduction in energy intake,(D) Low concentrations of leptin with increased energy intake,C
Approximately how many movies are watched in homes in the United States in one year?,"(A) 200,000,000","(B) 2,000,000,000","(C) 20,000,000,000","(D) 200,000,000,000",C
Which of these items is useful for removing ink stains?,(A) baking soda,(B) nail polish,(C) hair spray,(D) butter,C
"A dentist that is performing procedures in his clinic is brought out to the front desk one day to handle a dispute between one of his patients and the clerk. The patient is a middle-aged businessman who is irate and creating a scene because he was told he would have to see the dental hygienist instead of the dentist. The patient loudly rants that he makes too much money to be subjected to treatment by a half-trained associate. The clerk explains to the dentist that the patient was 40 minutes late to his appointment, and the only opening now was with the hygienist. The patient snaps back that his time is worth more than any of the people in the office. What personality disorder is this patient likely exhibiting?",(A) Histrionic,(B) Narcissistic,(C) Paranoid,(D) Obsessive-compulsive,C
What is intuitive decision making based on?,(A) Guesswork,(B) Gambling,(C) Instinct,(D) Rationality,C
If someone has cataracts what part of their body might need an operation?,(A) ear,(B) hand,(C) eye,(D) knee,C
Which of the following is a true statement about the flow of energy in an ecosystem?,(A) Smaller organisms need less energy per gram of body weight than do larger organisms.,(B) Energy transfer between organisms normally involves conservation of heat energy.,(C) Energy flow between trophic levels is inefficient.,"(D) Chemical energy is converted into radiant energy, which is then converted into chemical energy at the next trophic level.",C
A CPA was engaged to calculate the rate of return on a specified investment according to an agreedupon formula and verify that the resultant percentage agrees to the percentage in an identified schedule. The CPA's report on these agreed-upon procedures should contain,(A) An opinion about the fairness of the agreed-upon procedures.,(B) A separate paragraph describing the effectiveness of the internal controls.,(C) A disclaimer of responsibility for the sufficiency of those procedures.,(D) A disclaimer of opinion on the fair presentation of the financial statements.,C
How would the following ratios or measures be affected if a company issued additional capital stock for cash? Total debt to total assets Working capital,(A) Increase Increase,(B) Increase Decrease,(C) Decrease Increase,(D) Decrease Decrease,C
Which of the following types of information would be included in total net assets in the statement of financial position for a nongovernmental not-for-profit organization?,(A) Total current net assets and total other assets.,(B) Total current assets and restricted assets.,"(C) Unrestricted net assets, temporarily restricted net assets, and permanently restricted net assets.","(D) Unrestricted net assets, restricted net assets, and total current assets.",C
What city's residents are known as 'Knickerbockers'?,(A) Boston,(B) Philadelphia,(C) New York City,(D) London,C
"These are non-durable goods or services, often bought with little pre-purchase thought or consideration:",(A) Impulse products.,(B) Manufacturer products.,(C) Convenience products.,(D) Luxury products.,C
Smile Inc. purchased a computer on May 1 for $12000 with an estimated salvage value of $1500 and a 3-year life. What is the depreciation expense for the year ended December 31 using the double-declining method of depreciation?,"(A) $8,000","(B) $7,000","(C) $5,333",(D) 4667,C
What term describes a word created by rearranging the letters of another word?,(A) onomatopoeia,(B) malapropism,(C) anagram,(D) antonym,C
What is a Dutch oven?,(A) a toaster oven,(B) a microwave,(C) a kettle pot,(D) a sauna,C
Which of the following causes more deaths globally each year (as of 2017)?,(A) Diarrheal diseases,(B) Diabetes,(C) Dementia,(D) Road injuries,C
Financial adjustment to retirement has been most difficult for,(A) Married couples,(B) Single men,(C) Single women,(D) Older adults,C
What must you ensure before a speaking valve is used?,(A) That the patient is able to swallow properly.,(B) It is seven days after the tracheostomy tube was first inserted.,(C) The cuff is deflated.,(D) The cuff is inflated.,C
Which of these painting tools has bristles on it?,(A) Easel,(B) Knife,(C) Brush,(D) Palette,C
What people ruled the Andes Mountains until they were conquered by the Spanish in 1532?,(A) Pueblo,(B) Aztec,(C) Inca,(D) Apache,C
The measurement of a specific biochemical status index for a micronutrient such as vitamin C is most likely to be useful in practice to estimate:,"(A) The presence or risk of a clinical deficiency, such as clinical scurvy.",(B) The overall quality of a person's diet,"(C) The tissue levels, or body status, of that nutrient.",(D) Overall health and freedom from disease.,C
Which brand of cat food claims it's so tasty that 'cats ask for it by name'?,(A) Fancy Feast,(B) Cat Chow,(C) Meow Mix,(D) 9-Lives,C
In which century was the greatest number of chemical elements discovered?,(A) 17th,(B) 18th,(C) 19th,(D) 20th,C
Which of these refers to an alcoholic drink laced with a knockout drug?,(A) Zombie,(B) Kamikaze,(C) Mickey Finn,(D) Molotov cocktail,C
What is New Mexico's nickname?,(A) The Desert State',(B) Gateway to Paradise',(C) Land of Enchantment',(D) The Garden State',C
What is the main source of protein in the British diet?,(A) Fish and fish products,(B) Pulses,(C) Meat and meat products,(D) Milk and milk products,C
"A 40-year-old woman comes to the physician because of a 6-month history of increased facial hair growth. Her last menstrual period was 4 months ago. She is 165 cm (5 ft 5 in) tall and weighs 70 kg (154 lb); BMI is 26 kg/m2 . Her pulse is 80/min, and blood pressure is 130/82 mm Hg. Physical examination shows temporal balding and coarse dark hair on the upper lip and chin. Pelvic examination shows clitoral enlargement. Her serum testosterone concentration is increased. Serum concentrations of androstenedione, dehydroepiandrosterone, and urinary 17-ketosteroids are within the reference ranges. Ultrasonography of the pelvis shows a 12-cm ovarian mass. Which of the following best describes this mass?",(A) Granulosa tumor,(B) Ovarian carcinoid,(C) Sertoli-Leydig tumor,(D) Teratoma,C
What is the morphology of the Dane particle?,(A) Double shelled icosahedron,(B) Lipid membrane free icosahedron,(C) Flexuous and filamentous morphology,(D) Numerous small particles,C
 Which of the following occurs when competitors' pricing policies are almost exclusively focused on competitors rather than customers?,(A) Price differentiation.,(B) Price fixing.,(C) Price wars.,(D) Price guarantees.,C
"A scientist, using electrodes, is stimulating a group of neurons in the hypothalamus and recording their membrane potential changes. She observes a sharp rise in membrane potential when she first stimulates them, the the difference of 100mV. When she tries another stimulation immediately after the first, there is no response. However, when she increase the amount of voltage she supplies to the second shock, she observes a similar response to the first. What time period of stimulation would the second shock be characterized in regards to membrane potential?",(A) Depolarization,(B) Repolarization,(C) Hyperpolarization,(D) Resting potential,C
A 20 year old student who has recently arrived in Britain from Sudan visits the university health centre to complain of abdominal cramps and diarrhoea after drinking milk. Which of the following is the most likely cause of his problem?,(A) Bacterial and yeast overgrowth in the small intestine,(B) Lack of pancreatic amylase,(C) Lack of small intestinal lactase,(D) Lack of small intestinal sucrase-isomaltase,C
When an individual passively appreciates an event or environment but leaves without affecting or altering the nature of the environment is called:,(A) Entertainment realm.,(B) Educational realm.,(C) Aesthetic realm.,(D) Escapist realm,C
Which company holds an annual self-named 'Bake-Off'?,(A) Betty Crocker,(B) Duncan Hines,(C) Pillsbury,(D) Keebler,C
The following information pertains to Baxter Co: Inventory at beginning of year $200000 Inventory at year end $300000 Cost of goods sold during the year $500000 What was Baxter's inventory turnover for the year?,(A) 1,(B) 1.5,(C) 2,(D) 2.5,C
A 26-year-old woman is brought to the emergency department because of an 8-hour history of severe back and abdominal pain and mild but persistent vaginal bleeding. Ultrasonography of the abdomen shows a 2-cm ectopic pregnancy in the ampulla. The ampulla has ruptured into the surrounding tissue. Fluid from this rupture will most likely be found in which of the following locations?,(A) Lesser peritoneal cavity,(B) Mesometrium,(C) Pouch of Douglas,(D) Uterine cavity,C
The chance of acquiring HIV infection from factor VIII in the United States in 2011 is 0% primarily because:,(A) All donors for factor VIII are screened,(B) Factor VIII is subject to detergent “washing” prior to release,(C) Factor VIII is made synthetically,(D) Factor VIII is important from countries with no reported HIV,C
Oral bacterial synthesise extracellular glucans (dextran and mutan) from which host dietary component?,(A) glucose,(B) Alpha limit dextrins,(C) Sucrose,(D) polysaccharides,C
What type of meat is on a traditional Reuben sandwich?,(A) turkey,(B) bologna,(C) corned beef,(D) pepperoni,C
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,(A) 1 mol,(B) 2 mol,(C) 3 mol,(D) 6 mol,D
A good surveillance system should provide information about:,(A) Who is being infected,(B) Where the infected individuals are,(C) How rapidly infection is spreading,(D) All of the above,D
Which is the most reliable way to assess for clubbing?,(A) Inspect the nail-bed angle from above,(B) Assessing the fluctuancy of the nail-bed,(C) Schamroth's sign,(D) Inspect the nail-bed angle from the side,D
The most important element of ethical research on human subjects is:,(A) Beneficence,(B) Justice,(C) A methodologically sound study design,(D) Informed consent,D
"A 29-year-old woman is prescribed carbamazepine for trigeminal neuralgia. She has a strong family history of osteoporosis. As a result, the physician also advises her to increase her intake of vitamin D. The most likely reason for this recommendation is that carbamazepine may affect which of the following pharmacokinetic processes?",(A) Absorption,(B) Distribution,(C) Excretion,(D) Metabolism,D
"During a clinical study examining the effects of exercise, men between the ages of 20 and 30 years are evaluated during a 15- minute session on a treadmill. The average pulse for the last 2 minutes of the session is 175/min. During the last minute of exercise, various measurements are taken. Compared with the measurement before the session, which of the following is most likely to be decreased?",(A) Pulse pressure,(B) Stroke volume,(C) Systolic blood pressure,(D) Total peripheral resistance,D
Which virus infection was not first identified by clinical observation?,(A) HIV,(B) Rubella teratogenicity,(C) Microcephaly and Zika,(D) Hepatitis C,D
"A 68-year-old man is in the hospital because he requires mechanical ventilation for an exacerbation of chronic obstructive pulmonary disease. On the second day after admission he developed a pneumothorax on the right side that required tube thoracostomy. An air leak is noted for the next 24 hours, which now has stopped. However, the patient has become restless and combative. Breath sounds are diminished in the right side of the chest and the patient now has tachycardia. Blood pressure is 130/80 mm Hg. After ordering a STAT portable x-ray of the chest, which of the following is the most appropriate step?",(A) Administer β-blocking medications,(B) Administer alprazolam,(C) Remove the patient from the ventilator and ventilate him with a bag-valve mask,(D) Reposition the chest tube,D
"A company has income after tax of $5.4 million, interest expense of $1 million for the year, depreciation expense of $1 million, and a 40% tax rate. What is the company’s times-interest-earned ratio?",(A) 5.4,(B) 6.4,(C) 7.4,(D) 10,D
Which of these men has never been a head coach in the NFL?,(A) Dick Vermeil,(B) Bill Parcells,(C) Chuck Noll,(D) Pat Riley,D
Real gross domestic product (GDP) is defined as the ratio of nominal GDP to the,(A) money supply,(B) unemployment rate,(C) government's budget deficit,(D) GDP deflator,D
"During an engagement to review the financial statements of a nonissuer, an accountant becomes aware of several leases that should be capitalized, but are not capitalized. The accountant considers these leases to be material to the financial statements. The accountant decides to modify the standard review report because management will not capitalize the leases. Under these circumstances, the accountant should",(A) Issue an adverse opinion because of the departure from GAAP.,(B) Express no assurance of any kind on the entity's financial statements.,(C) Emphasize that the financial statements are for limited use only.,(D) Disclose the departure from GAAP in a separate paragraph of the accountant's report.,D
Which of the following conditions is a peroxisomal disorder?,(A) Acute intermittent porphyria,(B) Maple syrup urine disease,(C) Medium chain acyl-CoA dehydrogenase deficiency,(D) Zellweger syndrome,D
According to the title of a popular children's TV show what color is Bear's big house?,(A) red,(B) green,(C) purple,(D) blue,D
What are the disadvantages of identifying under-reporting of usual intake using the doubly labelled water technique?,(A) It uses a sophisticated analytical technique,(B) It provides a marker for energy intake only,(C) Mis-reporting of low energy content foods would not be identified,(D) All of the options given are correct,D
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,(A) Opportunistic organisation,(B) Enterprising organisation,(C) International organisation,(D) Agile organisation,D
Which of the following diseases does obesity increase the risk of developing?,(A) Type 2 diabetes,(B) Cancer,(C) Cardiovascular disease,(D) All of the options given are correct,D
What is another name for contingency planning?,(A) Synergy planning,(B) Ad hoc planning,(C) Business level planning,(D) Scenario planning,D
An investment will pay out $10 p.a. forever. What is that investment worth if the market discount rate is 5%?,(A) $100,(B) $2,(C) $500,(D) $200,D
"A 27-year-old nurse comes to the emergency department because of nervousness, dizziness, palpitations, and excess perspiration for the past 3 hours. She has had similar episodes over the past 6 months. The symptoms improve following ingestion of orange juice or soft drinks. She says that she has had a great deal of stress. She has been drinking two alcoholic beverages daily for the past month; before this time, she seldom drank alcohol. Examination shows no abnormalities. Her serum glucose concentration is 30 mg/dL. Intravenous glucose is administered, and the patient's symptoms improve. Which of the following is the most appropriate next step in diagnosis?",(A) Measurement of serum proinsulin and insulin antibodies,(B) Measurement of serum cortisol and ACTH concentrations,(C) Measurement of serum growth hormone and plasma somatomedin-C concentrations,(D) Measurement of serum insulin and C-peptide concentrations,D
Most of the free fatty acids are transported in the blood:,(A) inside the red blood cells.,(B) as lipoproteins.,(C) combined with glucose.,(D) bound to albumin.,D
Bladder washout solution should be:,(A) warm.,(B) cold.,(C) refrigerated.,(D) room temperature.,D
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",(A) Clinical trial,(B) Double-blind,(C) Longitudinal,(D) Prospective cohort,D
Which of the following statements is/are true?How can smoking affect breastfeeding?,(A) Suppresses milk production,(B) Alters the composition of breast milk,(C) Increases the risk of early cessation of breastfeeding,(D) all of the options given are correct,D
A wrestler attempting to lose weight for a match in December commits himself to dropping 30lbs over 2 months. Which of the following is NOT a good method to restrict his caloric intake?,(A) Study at a health smoothie store instead of a coffee shop.,(B) Reward himself with a savory meal every Saturday for meeting his calorie goals.,(C) Snap himself with a rubber band when he eats a high calorie snack.,(D) Hide snack food out of sight within his house.,D
Of the classes of dietary fatty acids which have the most beneficial effect on plasma LDL cholesterol levels?,(A) n-3 and n-6 polyunsaturated fatty acids,(B) Saturated and trans unsaturated fatty acids,(C) Monounsaturated fatty acids,(D) Both a and c,D
 Secondary data has two important advantages over primary data. It is:,(A) Capable of compensating for rapid environmental changes and technical improvements.,(B) Always available and complete.,(C) Seldom obsolete and usually fits the dimensions of your problem.,(D) Generally cheaper to gather than primary data and takes less time to find.,D
 The way in which the product is delivered to meet the customers' needs refers to:,(A) New product concepts and improvements.,(B) Selling.,(C) Advertising and promotion activities.,(D) Place or distribution activities.,D
"A 14-year-old girl has had nausea, intermittent diarrhea, and a 2.2-kg (5-lb) weight loss over the past 4 weeks. Examination shows a migrating serpiginous pruritic perianal rash. Her leukocyte count is 8000/mm3 with 20% eosinophils. Which of the following tests is most likely to yield an accurate diagnosis?",(A) Blood smear,(B) Bone marrow biopsy,(C) KOH preparation,(D) Microscopic examination of the stool,D
Research has offered some longitudinal as well as cross sectional support for the theory put forth by,(A) Peck,(B) Foos,(C) Levenson,(D) Erikson,D
The dance known as the 'fandango' is of what origin?,(A) Australian,(B) African,(C) Native American,(D) Spanish,D
What are histones?,(A) Lipids,(B) Carbohydrates,(C) Nucleotides,(D) Proteins,D
For a man and woman on a date 'dutch treat' means what?,(A) The man pays,(B) The woman pays,(C) The Dutch pay,(D) Each pays their own way,D
"A 2-year-old boy is brought to the emergency department by his babysitter because of a 30-minute history of respiratory distress. The babysitter reports that she is 15 years old and has cared for the patient on numerous occasions during the past year. The child's mother, who is a single parent, is currently out of town for business but will return later tonight. The babysitter says, ""He has had a runny nose since I started babysitting yesterday, but this afternoon he awoke from a nap with a barking sound and he was breathing real heavy."" She does not know the child's prior health history, nor does she know if the boy takes any medications on a regular basis. The child looks tired and sits upright on the babysitter's lap. He is obviously comfortable with his caregiver. Vital signs are temperature 38.7°C (101.7°F), pulse 110/min, respirations 28/min and labored, and blood pressure 85/50 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 89%. Physical examination discloses inspiratory stridor. Neck is supple, tympanic membranes are normal, and there is a profuse nasal discharge. Examination of the pharynx discloses no abnormalities. Auscultation of the chest discloses equal air entry on both sides and no crackles. The remainder of the examination shows no abnormalities. Treatment with 40% oxygen via venturi mask and intravenous fluids is initiated. Despite continued supplemental oxygen and hydration, the child remains tachypneic and stridorous at rest. Oxygen saturation is now 93%. In addition to administering racemic epinephrine by nebulizer, which of the following is the most appropriate next step?",(A) Intravenous aminophylline therapy,(B) Intravenous antibiotic therapy,(C) Intubation,(D) Oral dexamethasone therapy,D
"A 35-year-old female develops nausea and vomiting after she underwent a cholecystectomy for protracted ileus. Her body mass index was 23 kg/m2 before surgery, and, except for the cholecystitis, she was in good health. The patient remains unable to eat 6 days after surgery. Which of the following forms of nutritional support is most appropriate for this patient?",(A) central hyperalimentation,(B) feeding through a nasogastric feeding tube,(C) oral fat-free modular diet,(D) peripheral hyperalimentation,D
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,(A) 1%,(B) 10%,(C) 25%,(D) Almost 100%,D
"A 5-year-old boy is brought to the physician because of a 2-day history of fever and painful swelling of the left ankle. He has had recurrent cervical lymphadenitis and pneumonia since infancy. Two years ago, a culture from an abscess in the cervical region grew Staphylococcus aureus. His temperature is 38°C (100.4°F). Examination shows a tender, erythematous, edematous left ankle; there is point tenderness over the medial malleolus. A bone scan shows increased uptake in the left lower tibial metaphysis. Culture of bone aspirate grows Serratia marcescens. Nitroblue tetrazolium test shows no color change. Which of the following is the most likely mechanism for these findings?",(A) Developmental arrest of maturation of B lymphocytes,(B) Dysmorphogenesis of the third and fourth pharyngeal pouches,(C) Impaired chemotaxis,(D) Impaired phagocytic oxidative metabolism,D
Which of the following does NOT usually occur to the lens of the eye as one grows older?,(A) It becomes thicker,(B) It yellows,(C) It becomes clouded,(D) It fills with fluid,D
Which unique form does the rabies virus take?,(A) The virion has a dumbbell appearance,(B) It is shaped like a bullet from a gun,(C) The virus is star shaped,(D) The virion is very pleomorphic,D
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,(A) 1,(B) 7,(C) 13,(D) 19,D
Which of the factors below is NOT considered a risk factor for Eating Disorders,(A) Perfectionism traits,(B) Female gender,(C) Dieting during adolescence,(D) Parental anxiety,D
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,(A) Subsidiary,(B) Strategic partnership,(C) Strategic alliance,(D) Strategic business unit,D
What is not a component of an agile organisation?,(A) Market focus and position,(B) Human resources: multi-skilling,(C) Organisational structure,(D) Project-based culture,D
Which of the following short-run costs always increases as output increases?,(A) Average total cost,(B) Marginal cost,(C) Total fixed cost,(D) Total variable cost,D
Which of the following factors can affect enzyme activity?,(A) Temperature.,(B) pH.,(C) The presence of certain metal ions.,(D) All of the above.,D
A deficiency of which vitamin has been associated with enamel defects and increased risk of dental caries?,(A) Vitamin A,(B) Folic acid,(C) Vitamin C,(D) Vitamin D,D
Demand reduction.,"(A) 1,3,4","(B) 2,3,4","(C) 1,2,3","(D) 1,2,4",D
Peak flow meters record:,(A) the lowest rate of air expelled from the lungs through an open mouth.,(B) forced expiratory volume.,(C) forced vital capacity.,(D) the highest rate of air expelled from the lungs through an open mouth.,D
Which of the following factors most likely would heighten an auditor's concern about the risk of fraudulent financial reporting?,(A) The audit committee's approval of the initial selection of accounting principles.,(B) A lack of competition in the entity's industry accompanied by increasing profit margins.,(C) Management's disclosure of unresolved litigation and contingent liabilities.,(D) Year-end adjustments by the entity that significantly affect financial results.,D
"When scanning a drive for viruses, it is typically important to check files having which of the following extensions?",(A) .jpg,(B) .pdf,(C) .wav,(D) .exe,D
